,Calle,Colonia,Delegacion,Estado,Foto,HerramientasFaltantes,HerramientasSobrantes,Hora,HoradelReporte,ManodeObraFaltante,ManodeObraSobrantes,MedicamentosFaltantes,MedicamentosSobrantes,NumeroExterioroAproximado,NumerodePersonasAtrapadas,NumerodePersonasDesaparecidas,NumerodePersonasFallecidas,NumerodePersonasLesionadas,NumerodePersonasRescatadas,OtraReferenciadeUbicacion,Timestamp,TipodeInfraestructura,TipodeUso,TipodelDano,Verificado,ViveresFaltantes,ViveresSobrantes,latitud,longitud
106,,10 de mayo ,Venustiano Carranza ,D.F. ,,,,,,,,,,,,,,,,,2017-09-19 20:38:50,,,Ofrezco,,"Transporte, Manos",,19.4334191,-99.1186381
107,,Heroes de padierna,Magdalena Contreras,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-19 20:40:19,,,Ofrezco,,"Agua, Refugio / Dónde dormir, Manos, Artículos de limpieza, Carpas, tiendas de campaña",,19.3131415,-99.2252163
108,,Insurgentes mixcoac,Benito Juárez ,CDMX,,,,,,,,,,,,,,,,,2017-09-19 20:41:29,,,Ofrezco,,"Refugio / Dónde dormir, Manos, Ropa",,19.3705285,-99.1803382
109,,Del Valle Centro,Benito Juárez,DF,,,,,,,,,,,,,,,,,2017-09-19 20:41:31,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Medicamentos",,19.3910737,-99.1657372
110,,Bosques de Cantabria ,Estado de México ,Toluca,,,,,,,,,,,,,,,,,2017-09-19 20:42:13,,,Ofrezco,,"Agua, Manos",,19.3667255,-99.5799072
111,,Morelos,Venustiano Carranza,CDMX,,,,,,,,,,,,,,,,Motocicleta,2017-09-19 20:43:44,,,Ofrezco,,Transporte,,19.4468231,-99.1303962
112,,La floresta,Ocotlan,Jalisco,,,,,,,,,,,,,,,,,2017-09-19 20:43:53,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Medicamentos, Ropa",,20.3658211,-102.7705046
113,,Santiago,,Colima,,,,,,,,,,,,,,,,,2017-09-19 20:43:58,,,Ofrezco,,Asistencia médica,,19.1207004,-104.3522793
114,,San Miguel 2,Cozumel,Quintana roo,,,,,,,,,,,,,,,,,2017-09-19 20:44:02,,,Ofrezco,,Manos,,20.4898051,-86.9567764
115,,Hacienda las Garzas,,Estado de Mexico,,,,,,,,,,,,,,,,,2017-09-19 20:45:52,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Ropa",,19.6297727,-99.1155842
116,,Popotla,Miguel Hidalgo,CDMX,,,,,,,,,,,,,,,,,2017-09-19 20:46:39,,,Ofrezco,,"Refugio / Dónde dormir, Manos, Asistencia médica",,19.4531418,-99.1802147
117,,Las Alamedas,Atizapan de Zaragoza,Estado de Mexico,,,,,,,,,,,,,,,,,2017-09-19 20:47:10,,,Ofrezco,,"Manos, Voluntario en operaciones de rescate",,19.5528761,-99.2466874
118,,Adolfo Ruíz Cortines,Ecatepec de Morelos,Estado de México,,,,,,,,,,,,,,,,,2017-09-19 20:48:32,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Medicamentos, Ropa",,19.6013822,-99.0315434
119,,Emilio Carranza,Venustiano Carranza,DF,,,,,,,,,,,,,,,,,2017-09-19 20:52:18,,,Ofrezco,,Manos,,19.4495563,-99.1200213
120,,Ramos Millan,Iztacalco,Distrito Federal,,,,,,,,,,,,,,,,,2017-09-19 20:52:25,,,Ofrezco,,Manos,,19.3833124,-99.1430511
121,,Del Carmen,Coyoacán,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-19 20:53:03,,,Ofrezco,,"Transporte, Manos, Bici",,19.3576721,-99.1605561
122,,Pro hogar,Azcapotzalco,CDMX,,,,,,,,,,,,,,,,,2017-09-19 20:53:48,,,Ofrezco,,Manos,,19.472424,-99.1565449
123,,Universidad,Toluca,Estado de México,,,,,,,,,,,,,,,,,2017-09-19 20:54:46,,,Ofrezco,,Sangre O+,,19.2755478,-99.6522324
124,,HACIENDA EL ROBLE,SAN NICOLÁS,NUEVO LEÓN,,,,,,,,,,,,,,,,,2017-09-19 20:55:53,,,Ofrezco,,Ropa,,25.7628772,-100.2771894
125,,Lomas de becerra,Álvaro obregon,Ciudad México ,,,,,,,,,,,,,,,,,2017-09-19 20:56:09,,,Ofrezco,,Refugio / Dónde dormir,,19.3850689,-99.2010007
126,,el sol ,nezahualcoyotl ,estado de mexico ,,,,,,,,,,,,,,,,,2017-09-19 20:57:02,,,Ofrezco,,"Comida, Agua, Manos, Ropa",,19.430774,-99.0391431
